trial_type	onset	duration	probs	ambigs	vals	svs	ref_svs	resp	resp_onset	condition
risk	15	6	0.75	0.0	12	16.483	9.737	0.0	21	Mon
risk	30	6	0.75	0.0	8	10.677	9.737	1.0	36	Mon
risk	45	6	0.5	0.0	8	7.118	9.737	0.0	52	Mon
amb	61	6	0.5	0.74	8	6.55	9.737	0.0	68	Mon
risk	75	6	0.5	0.0	5	4.869	9.737	0.0	82	Mon
risk	91	6	0.25	0.0	25	6.32	9.737	0.0	98	Mon
amb	105	6	0.5	0.24	12	10.704	9.737	0.0	112	Mon
risk	121	6	0.25	0.0	12	5.494	9.737	0.0	128	Mon
risk	136	6	0.25	0.0	8	3.559	9.737	0.0	143	Mon
amb	151	6	0.5	0.24	8	6.933	9.737	0.0	158	Mon
risk	166	6	0.5	0.0	25	12.64	9.737	0.0	173	Mon
amb	182	6	0.5	0.5	8	6.734	9.737	0.0	189	Mon
risk	196	6	0.5	0.0	25	12.64	9.737	1.0	203	Mon
risk	210	6	0.5	0.0	8	7.118	9.737	0.0	217	Mon
risk	225	6	0.25	0.0	12	5.494	9.737	0.0	232	Mon
amb	241	6	0.5	0.74	12	10.111	9.737	0.0	248	Mon
risk	257	6	0.75	0.0	12	16.483	9.737	1.0	264	Mon
amb	272	6	0.5	0.24	25	12.313	9.737	1.0	279	Mon
risk	287	6	0.75	0.0	8	10.677	9.737	1.0	294	Mon
risk	301	6	0.5	0.0	12	10.989	9.737	1.0	308	Mon
